Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Loci,score,description
32.150.1,False,True,True,322628,,Ancient Near Eastern Art,1932,Roundel,Window roundel,Sasanian,Sasanian,,,,,,,,,,,,,,,,,ca. 6th century CE,6,6,Stucco,"24 1/2 in., 80 lb. (62.2 cm)","Rogers Fund, 1932",|,,|,,,Mesopotamia,Ctesiphon,,,,Stucco-Architectural,,http://www.metmuseum.org/art/collection/search/322628,,,"Metropolitan Museum of Art, New York, NY",Palmettes,http://vocab.getty.edu/page/aat/300009995,https://www.wikidata.org/wiki/Q677655,,14,
32.150.176,False,False,True,322753,,Ancient Near Eastern Art,1932,Sculpture,Head,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 2nd century BCE–3rd century CE,-2,-2,Ceramic,2 1/2 in. × 2 in. × 1 1/2 in. (6.4 × 5.1 × 3.8 cm),"Rogers Fund, 1932",|,,|,,,Mesopotamia,Ctesiphon,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/322753,,,"Metropolitan Museum of Art, New York, NY",Heads,http://vocab.getty.edu/page/aat/300375054,https://www.wikidata.org/wiki/Q3409626,,14,
32.150.191,False,False,True,322768,,Ancient Near Eastern Art,1932,Sculpture,Figure of an animal,Sasanian or Islamic,Sasanian–early Islamic,,,,,,,,,,,,,,,,,ca. 7th–8th century CE,600,800,"Bronze, green patina",1.87 in. (4.75 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Metalwork-Sculpture,,http://www.metmuseum.org/art/collection/search/322768,,,"Metropolitan Museum of Art, New York, NY",Animals,http://vocab.getty.edu/page/aat/300249525,https://www.wikidata.org/wiki/Q729,,13,
32.150.190,False,False,True,322767,,Ancient Near Eastern Art,1932,Relief,Relief fragment with dog attacking a running ibex,Sasanian,Sasanian,,,,,,,,,,,,,,,,,ca. 6th century CE,500,600,Alabaster,6 3/4 × 5 3/4 in. (17.2 × 14.6 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Stone-Reliefs,,http://www.metmuseum.org/art/collection/search/322767,,,"Metropolitan Museum of Art, New York, NY",Dogs|Ibex,http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250124,https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q951220,,13,
32.150.146,False,False,True,322730,,Ancient Near Eastern Art,1932,Sculpture,Figure,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 1st–2nd century A.D,1,200,Ceramic,3 9/16 × 2 13/16 × 1 5/16 in. (9 × 7.2 × 3.35 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/322730,,,"Metropolitan Museum of Art, New York, NY",Birds|Male Nudes,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q40446,,13,
32.150.471,False,False,True,322845,,Ancient Near Eastern Art,1932,Relief,Relief fragment,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 1st–2nd century A.D,1,1,Ceramic,2.25 x 1.37 in. (5.72 x 3.48 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,probably from Ctesiphon or Seleucia,,,,Ceramics-Reliefs,,http://www.metmuseum.org/art/collection/search/322845,,,"Metropolitan Museum of Art, New York, NY",Hands,http://vocab.getty.edu/page/aat/300310193,https://www.wikidata.org/wiki/Q33767,,13,
67.246.10,False,False,True,325891,,Ancient Near Eastern Art,1967,Sculpture,Male figurine,Nabataean,Nabataean,,,,,,,,,,,,,,,,,ca. 1st century CE,1,100,Ceramic,2 5/16 × 1 7/8 × 9/16 in. (5.9 × 4.8 × 1.4 cm),"Gift of the American Expedition to Petra, 1967",From,,,,,Levant,Petra,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/325891,https://www.wikidata.org/wiki/Q116282422,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441,,13,
32.150.177,False,False,True,322754,,Ancient Near Eastern Art,1932,Sculpture,Head,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 2nd century BCE–3rd century CE,-2,-2,Ceramic,1.62 in. (4.11 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/322754,,,"Metropolitan Museum of Art, New York, NY",Heads,http://vocab.getty.edu/page/aat/300375054,https://www.wikidata.org/wiki/Q3409626,,13,
32.150.470,False,False,True,322844,,Ancient Near Eastern Art,1932,Sculpture,Figure fragment,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 2nd century BCE–3rd century CE,-2,-2,Ceramic,2.25 x 1.5 in. (5.72 x 3.81 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/322844,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,,13,"During the Sasanian era many elite houses were richly decorated with stucco reliefs and other decoration. This small clay fragment of a female figure may have been used as a household decoration. Purchased by the Ctesiphon Expedition and attributed to the house at Maaridh I, this ceramic example finds parallels with the stucco reliefs of dancers and musicians excavated at the Maaridh houses. The city of Ctesiphon was located on the east bank of the Tigris River, 20 miles (32 km) south of modern Baghdad in Iraq. It flourished for more than 800 years as the capital of the Parthians and the Sasanians, the last two dynasties to rule the ancient Near East before the Islamic conquest in the seventh century. Systematic excavations in the Ctesiphon area were undertaken by an expedition in 192829 sponsored by the German Oriental Society (Deutsche Orient-Gesellschaft). The Metropolitan Museum of Art and the Staatliche Museen, Berlin, undertook a joint expedition for one season in 193132. Several excavations were conducted, including at the main palace (Taq-i Kisra), in a small fortified area south of the palace at Tell Dheheb, at multiple houses at the mounds of Maaridh, and at additional houses at a small mound called Umm ez-Zatir."
32.150.175,False,False,True,322752,,Ancient Near Eastern Art,1932,Sculpture,Fragment of a figure,Parthian,Parthian,,,,,,,,,,,,,,,,,ca. 2nd century BCE–3rd century CE,-200,300,Ceramic,3 1/16 × 1 13/16 × 1 1/8 in. (7.7 × 4.6 × 2.8 cm),"Rogers Fund, 1932",From,,,,,Mesopotamia,Ctesiphon,,,,Ceramics-Sculpture,,http://www.metmuseum.org/art/collection/search/322752,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,,13,"During the Sasanian period many elite houses were richly decorated with stucco reliefs and other decoration. This small clay fragment of a female figure may have been used as a household decoration. Purchased by the Ctesiphon expedition and attributed to the house at Maaridh II, this ceramic example find parallels with the stucco reliefs of dancers and musicians excavated at the Maaridh houses. The city of Ctesiphon was located on the east bank of the Tigris River, 20 miles (32 km) south of modern Baghdad in Iraq. It flourished for more than 800 years as the capital of the Parthians and the Sasanians, the last two dynasties to rule the ancient Near East before the Islamic conquest in the seventh century. Systematic excavations in the Ctesiphon area were undertaken by an expedition in 192829 sponsored by the German Oriental Society (Deutsche Orient-Gesellschaft). The Metropolitan Museum of Art and the Staatliche Museen, Berlin, undertook a joint expedition for one season in 193132. Several excavations were conducted, including at the main palace (Taq-i Kisra), in a small fortified area south of the palace at Tell Dheheb, at multiple houses at the mounds of Maaridh, and at additional houses at a small mound called Umm ez-Zatir. Over the course of the excavations in the Ctesiphon area, six houses from a series of small mounds called el Maaridh were excavated. These houses follow typical Sasanian design with a mix of square and elongated rooms. Maaridh II is a large house that is entered through a small entry way rather than directly from the street. The house is divided into a utilitarian, or service, sector on the eastern side of the building, and a monumental decorated space to the west of the entryway. The western rooms were decorated with pillars, a double horseshoe archway, and stucco reliefs. A long barrel vaulted arched room, 19 meters in length, was probably the most important room of the house. It was entered through a smaller room with four pillars. This large house, with the excavated portion revealing more than 1800 square meters, represents an elite household."
