Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
59.76,True,True,True,503046,684,Musical Instruments,1959,Grand Pianoforte,Grand Pianoforte,British,,,,,15504019784,Manufacturer|Designer, | ,Érard|George Henry Blake,"French, ca. 1780–1959| ",", made in London| ","Érard|Blake, George Henry",French| ,1780      |          ,1959      |          ,|,|,|,ca. 1840,1820,1860,"Satinwood veneer, oak, spruce, iron, steel, ebony, ivory, gilding, mother-of-pearl, holly, mahogany, burl walnut, tulipwood, silver wire","Height (Total): 37 1/2 in. (95.3 cm)
Width (Of case, perpendicular to keyboard): 97 1/4 in. (247 cm)
Depth (Of case, parallel to keyboard): 58 7/8 in. (149.5 cm)","Gift of Mrs. Henry McSweeney, 1959",,London,,England,United Kingdom,,,,,,,Chordophone-Zither-struck-piano,,http://www.metmuseum.org/art/collection/search/503046,https://www.wikidata.org/wiki/Q29385590,,"Metropolitan Museum of Art, New York, NY",Birds|Men|Women|Bacchus|Ceres|Persephone,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901001409|http://vocab.getty.edu/page/ia/901000735|http://vocab.getty.edu/page/ia/901001949,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q645312|https://www.wikidata.org/wiki/Q32102|https://www.wikidata.org/wiki/Q45967
2002.323a–f,True,True,True,503530,684,Musical Instruments,2002,Musical Clock with Spinet and Organ,Musical Clock with Spinet and Organ,German,,,,,15531116280,Maker|Maker, | ,Veit Langenbucher|Samuel Bidermann,"1587–1631|German, 1540–1622", | ,"Langenbucher Veit|Bidermann, Samuel",German|German,1587      |1540      ,1631      |1622      ,|,http://vocab.getty.edu/page/ulan/500089118|http://vocab.getty.edu/page/ulan/500058546,|https://www.wikidata.org/wiki/Q95636388,ca. 1625,1620,1631,"Ebony, gliding, brass, silver gilt, gilt brass, iron, various wood and metals, wire, parchment and leather","30 3/4 × 19 11/16 × 12 5/8 in. (78.1 × 50 × 32 cm)
Inner Mechanism: 10 3/4 × 19 × 10 in. (27.3 × 48.3 × 25.4 cm)","Purchase, Clara Mertens Bequest, in memory of André Mertens, 2002",,Augsburg,,,Germany,,,,,,,Chordophone,,http://www.metmuseum.org/art/collection/search/503530,https://www.wikidata.org/wiki/Q29385636,,"Metropolitan Museum of Art, New York, NY",Musicians,http://vocab.getty.edu/page/aat/300025666,https://www.wikidata.org/wiki/Q639669
54.1.2,True,True,True,470309,013,The Cloisters,1954,Book of Hours; Manuscript,"The Hours of Jeanne d'Evreux, Queen of France",French,,,,,13917,Artist, ,Jean Pucelle,"French, active Paris, 1319–34", ,"Pucelle, Jean",French,1319      ,1334      ,,http://vocab.getty.edu/page/ulan/500115647,https://www.wikidata.org/wiki/Q175888,ca. 1324–28,1324,1328,"Grisaille, tempera, and ink on vellum","single folio: 3 5/8 x 2 7/16 in. (9.2 x 6.2 cm)
Overall (with binding): 3 7/8 x 2 13/16 x 1 1/2 in. (9.9 x 7.2 x 3.8 cm)","The Cloisters Collection, 1954",Made in,Paris,,,France,,,,,,,Manuscripts and Illuminations,,http://www.metmuseum.org/art/collection/search/470309,https://www.wikidata.org/wiki/Q1516907,,"Metropolitan Museum of Art, New York, NY",Lions|Christ|Hawks|Dogs|Rabbits|Bishops|Adoration of the Magi|Adoration of the Shepherds|Annunciation|Crucifixion|Lamentation|Dancers|Musicians,http://vocab.getty.edu/page/aat/300310388|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300379800|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250218|http://vocab.getty.edu/page/aat/300025756|http://vocab.getty.edu/page/ia/901000083|http://vocab.getty.edu/page/ia/901000229|http://vocab.getty.edu/page/aat/300412102|http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/ia/901001196|http://vocab.getty.edu/page/aat/300025653|http://vocab.getty.edu/page/aat/300025666,https://www.wikidata.org/wiki/Q140|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q846664|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q9394|https://www.wikidata.org/wiki/Q29182|https://www.wikidata.org/wiki/Q488841|https://www.wikidata.org/wiki/Q1029715|https://www.wikidata.org/wiki/Q154326|https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q3155356|https://www.wikidata.org/wiki/Q5716684|https://www.wikidata.org/wiki/Q639669
2010.138.1–.4,True,True,True,506174,683,Musical Instruments,2010,Kettle Drums,Kettle Drums,Hanoverian (German),,,,,15653,Maker, ,Franz Peter Bundsen,ca. 1725–1795 (master 1754), ,Bundsen Franz Peter,Hanoverian (German),1725      ,1795      ,,,,1780,1780,1780,"Silver, iron, calfskin, textiles, gilding,","2010.138.1: 16 1/2 × 23 × 23 in., 52.9 lb. (41.9 × 58.4 × 58.4 cm, 24 kg)
2010.138.2: 16 3/4 × 24 1/2 × 24 1/2 in. (42.5 × 62.2 × 62.2 cm)","Purchase, Robert Alonzo Lehman Bequest, Acquisitions Fund, and Frederick M. Lehman Bequest, 2010",,Hanover,,,Germany,,,,,,,Membranophone-single-headed / kettle drum,,http://www.metmuseum.org/art/collection/search/506174,https://www.wikidata.org/wiki/Q29385716,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659
1979.206.86,True,True,True,312290,136,"Arts of Africa, Oceania, and the Americas",1979,Head,Head of an Oba,Edo artist,,,,,21914,Artist, ,Edo artist, , ,Edo artist, ,          ,          ,,,,16th century,1500,1600,Brass,H.  9 1/4 x W. 8 5/8 x D. 9 in. (23.5 x 21.9 x 22.9 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",,,,,Nigeria,"Igun-Eronmwen guild, Court of Benin",,,,,,Metal-Sculpture,,http://www.metmuseum.org/art/collection/search/312290,https://www.wikidata.org/wiki/Q29384291,,"Metropolitan Museum of Art, New York, NY",Kings|Heads|Men,http://vocab.getty.edu/page/aat/300025481|http://vocab.getty.edu/page/aat/300375054|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q12097|https://www.wikidata.org/wiki/Q3409626|https://www.wikidata.org/wiki/Q8441
"54.1.1a, b",True,True,True,470306,013,The Cloisters,1954,Book of Hours; Manuscript,"The Belles Heures of Jean de France, duc de Berry",French,,,,,13916,Artist, ,The Limbourg Brothers,"Franco-Netherlandish, active France, by 1399–1416", ,The Limbourg Brothers,Franco-Netherlandish,1399      ,1416      ,,http://vocab.getty.edu/page/ulan/500115592,https://www.wikidata.org/wiki/Q217816,1405–1408/1409,1405,1409,"Tempera, gold, and ink on vellum","Single leaf, Overall: 9 3/8 x 6 11/16 in. (23.8 x 17 cm); Double leaf, Overall: 9 3/8 x 13 7/16 in. (23.8 x 34.1 cm)","The Cloisters Collection, 1954",Made in,Paris,,,France,,,,,,,Manuscripts and Illuminations,,http://www.metmuseum.org/art/collection/search/470306,https://www.wikidata.org/wiki/Q29385502,,"Metropolitan Museum of Art, New York, NY",Angels|Virgin Mary|Annunciation|Crucifixion|Agony in the Garden|Adoration of the Magi|Assumption of the Virgin|Christ,http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300412102|http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/ia/901000503|http://vocab.getty.edu/page/ia/901000083|http://vocab.getty.edu/page/ia/901001007|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q154326|https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q2467856|https://www.wikidata.org/wiki/Q488841|https://www.wikidata.org/wiki/Q162691|https://www.wikidata.org/wiki/Q642420
1986.239a-b,True,True,True,503271,684,Musical Instruments,1986,Clavichord,Clavichord,German,,,,,15502,Maker,Attributed to,Christian Kintzing,"German, Neuwied 1707–1804 Neuwied", ,Kintzing Christian,German,1707      ,1804      ,,,https://www.wikidata.org/wiki/Q63438826,1763,1763,1763,"Wood, ebony, bone, walnut, paint, metal","Height (of case, without lid): 4 in. (10.1 cm)
Width: 54 7/16 in. (138.2 cm)
Depth (perpendicular to keyboard): 18 1/4 in. (46.3 cm)","Purchase, The Crosby Brown Collection of Musical Instruments, by exchange; Rogers Fund; The Barrington Foundation Inc. Gift; Gifts of Risa and David Bernstein, Carroll C., Beverly and Garry S. Bratman, Miss Alice Getty, and Erica D. White, by exchange; and funds from various donors, by exchange, 1986",,Neuwied,,,Germany,,,,,,,Chordophone-Zither-struck-clavichord,,http://www.metmuseum.org/art/collection/search/503271,https://www.wikidata.org/wiki/Q29385602,,"Metropolitan Museum of Art, New York, NY",Men|Women|Landscapes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q191163
1996.14,True,True,True,466287,013,The Cloisters,1996,Statuette,Standing Virgin and Child,Austrian,,,,,13883,Artist,Attributed to,Niclaus Gerhaert von Leyden,"North Netherlandish, active Strasbourg, ca. 1462–died 1473 Vienna", ,"Gerhaert von Leyden, Niclaus",North Netherlandish,1462      ,1473      ,,http://vocab.getty.edu/page/ulan/500100204,https://www.wikidata.org/wiki/Q33696,ca. 1470,1467,1473,"Boxwood, tinted lips and eyes",13 1/4 x 5 1/8 x 3 9/16 in. (33.6 x 13 x 9.1 cm),"Purchase, The Cloisters Collection and Lila Acheson Wallace Gift, 1996",Made in,probably Vienna,,,Austria,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/466287,https://www.wikidata.org/wiki/Q29385426,,"Metropolitan Museum of Art, New York, NY",Madonna and Child,http://vocab.getty.edu/page/ia/901000052,https://www.wikidata.org/wiki/Q9309699
2007.442,True,False,True,505722,684,Musical Instruments,2007,Painting,Portrait of Monsieur Aublet,French,,,,,16266,Artist, ,Guillaume Voiriot,"French, Paris 1713–1799 Paris", ,"Voiriot, Guillaume",French,1713      ,1799      ,,http://vocab.getty.edu/page/ulan/500026746,https://www.wikidata.org/wiki/Q1553935,ca. 1782,1780,1785,Oil on canvas,50 3/4 × 38 1/4 in. (128.9 × 97.2 cm),"Gift of The Bradford & Dorothea Endicott Foundation, 2007",,Paris,,,France,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/505722,https://www.wikidata.org/wiki/Q29385709,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Guitars,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300042025,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q6607
62.96,True,True,True,470310,014,The Cloisters,1962,Reliquary,Reliquary Shrine,French,,,,,13949,Artist,Attributed to,Jean de Touyl,"French, died 1349/50", ,de Touyl Jean,French,1270      ,1350      ,,,,ca. 1325–50,1325,1350,"Gilded silver, translucent enamel, paint","open: 10 × 16 × 3 5/8 in. (25.4 × 40.6 × 9.2 cm)
closed: 10 × 6 9/16 × 3 5/8 in. (25.4 × 16.7 × 9.2 cm)","The Cloisters Collection, 1962",Made in,Paris,,,France,,,,,,,Enamels-Translucent,,http://www.metmuseum.org/art/collection/search/470310,https://www.wikidata.org/wiki/Q20201477,,"Metropolitan Museum of Art, New York, NY",Angels|Virgin Mary|Madonna and Child|Jesus|Nursing,http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300379905,https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q174876
