object_id,link_resource,description
503046,http://www.metmuseum.org/art/collection/search/503046,"This piano, featuring an extraordinary marquetry satinwood case designed by George Henry Blake, is one of the most elaborately decorated instruments of the nineteenth century. It was commissioned from the London branch of the distinguished French firm of Érard by Thomas Henry Foley, Baron of Kidderminster, for Witley Court, his residence near Herefordshire and Worcestershire. 

The decorative program of the piano consists of mythological personages, references to the Foley family, and symbols related to music-making and musical instruments. The piano case features extraordinary marquetry that utilizes materials such as holly, mahogany, burl walnut, tulipwood, ivory, mother-of-pearl, and silver wire. When closed, the center of the lid top features a large music-themed marquetry trophy with instruments that include a hurdy-gurdy, tambourine, viol and bow, lute, panpipes, hunting horn, French horn, and sheets of music and a volume of Beethoven's symphonies. The elaborate lid decorations also feature images of animal and human grotesques and floral sprays as well as representations on ivory of Persephone, Ceres, and Bacchus. The lid, case sides, and key flap also feature extraordinary marquetry and scenes of every day life such as a woman and child warming themselves by a fire, a shepherd boy with a dog, and figures making music or dancing. The exposed underside of the lid flap has a large decoration of the Foley family coat-of-arms with two lion supporters.

The entire instrument has heavy gilt wood edging in the Louis XV style that incorporates carved flowers, scrolls, musical instruments, shells, and masks of Bacchus, Apollo, Diana, and Venus at the top of each leg. Each of these likenesses is said to represent a member of the Foley family. The pedal lyre has the face of ""Wind"" and attached are two three-dimensional carved and gilt birds. The instrument sits on a stand with a stretcher, in the style of eighteenth century French harpsichords. In the center of the stretcher is a reclining painted figure of Apollow with his lyre. 

The keyboard compass is CC-g4 (80 keys) with ivory naturals and ebony accidentals. There are two marquetried wood pedals, the left for the una corda and the right for the dampers. The instrument has the double-escapement action invented by Sébastian Érard and refined by his nephew Pierre, the most advanced for its period and the basis for the modern piano action. The instrument is triple strung except for the five lowest notes which each have two overwound bass strings. The strings for the top 26 notes pass beneath a pierced brass bar, Pierre Érards ""harmonic bar"" patented in 1838. The open-bottom wooden case is reinforced by longitudinal steel bars."
503530,http://www.metmuseum.org/art/collection/search/503530,"Inside the ebony case of this musical clock is an extremely rare and important instrument consisting of a sixteen-note pipe organ and a sixteen-string spinet that may be played independently of the organ.  Made by the renowned team of Samuel Bidermann and his son (also Samuel)--the father's L-shaped pinning style appears in this work--and Viet Langenbucher, the extraordinary piece includes, in addition to the organ and spinet, a clock and five carved and colorfully clad commedia dell'arte figures that perform a circling dance in the clock's tower when the instruments sound to mark the hours.

The complex clock is perhaps the most musically elaborate automatic instrument to survive from the early seventeenth century.  Its three airs, probably by composer Hans Leo Hassler (baptized 1564-1612), the elder Bidermann's teacher and once keeper of the knowledge of pinning barrels in Augsburg, are stored on the original pinned cylinder.  Most cylinders and their tunes were replaced by subsequent generations, but this one was spared to provide us with an extremely rare musical document that allows us to hear the airs as they were played in the seventeenth century.

Technical description: Rectangular ebony cabinet (a) with lower and upper sections; the lower section with centrally positioned doors opening to reveal faux organ pipes partially concealed behind a pierced gilt mask, pillars on a small plinth with ripple molding and a capital with a central brass lock frame,  the door is flanked by ripple molded panels, 3 brass knobs (left, center, and right) control the inner workings, and a ripple molding border delineates the upper and lower sections; silver-gilt caryatids appear at the corners of both upper and lower sections;  the upper section with further ripple molding is stamped with the Augsburg pinecone and signed EBEN on the flat surface above the lock; the central clock section with caryatids on the corners, flanked by scrolling corbels with turned gilt-brass finials above two secret side drawers (b-c), the whole surmounted by a covered balustrade balcony with mirrored back and side doors enclosing five colorful Commedia dell'Arte musicians (violinist, trumpeter, bell ringer, and triangle player encircle lute player who revolves in the opposite direction) who dance as the music played, domed top with further finial; the central clock with 3¾-inch silver chapter ring with outer minutes and quarters ring enclosing a 1-12 and a 13-24 hours ring with concentric alarm disc, set on a foliate engraved gilt-brass plate with regulation lever in the lower right side, the iron and brass bell striking movement with fusees for both trains with off-set winding and pinned barrel caps; the inscription of a prior repairman under the clock plate: ""Michel a Paris, 1866""; removing the cabinet reveals the framework and placement of 16 organ pipes, a 16-string spinet, bellows, cylinder and mechanism for the dancing figures; the framework's top forms the spinet's soundboard containing a parchment rosette and painted with flower sprays, protruding through the soundboard are two plungers to activate the dancing figures, 16 wire strings attach to end-pins at one side cross a bridge and attach to tuning pins at the other end, jacks to pluck the strings are at the tuning pin end;  aligned vertically, directly below the tuning pins, are trackers for the organ pipes placed horizontally and taking up ½ of the bottom of the frame and one of the three marks ""VLB"" appears here,  the two other ""VLB"" stamps (seen from the bottom) appear at the other end under the wood support for the key-wind mechanism; in the center of the frame next to the trackers is the bellows, then a wooden cylinder with brass L-shaped pins and then the hand-forged iron clockwork motor , idler wheel, key insert, etc., (f=mechanism), separate winder key (d) and key to lock cabinet top (e)."
470309,http://www.metmuseum.org/art/collection/search/470309,"At first glance, this tiny prayer book, with not a trace of gold, might seem an unlikely possession for a queen of France. But it is a work of exceptional artistry: the figures are rendered in delicate grisaille (shades of gray), giving them an amazingly sculptural quality, and are accented with rich color and touches of lilac and turquoise. The 209 folios include twenty-five full-page paintings with paired images from the Infancy and Passion of Christ and scenes of the life of Saint Louis, the queen's ancestor. In the margins, close to 700 illustrations depict the bishops, beggars, street dancers, maidens, and musicians that peopled the streets of medieval Paris, as well as apes, rabbits, dogs, and creatures of sheer fantasy. The testament of Jeanne d'Evreux identifies this prayer book, left to King Charles V, as the one ""that Pucelle illuminated."" At Charles's death, the book entered the collection of another famous bibliophile, his brother Jean, duc de Berry, patron of The Cloisters' Belles Heures."
506174,http://www.metmuseum.org/art/collection/search/506174,"This magnificent pair of royal kettle drums was made for the Hanoverian Life Guards of George III (1738-1820), King of Great Britain and Ireland and Elector of Hanover, whose royal coat-of-arms they bear. These ceremonial instruments would have been played on horseback accompanied by similarly mounted trumpeters leading the royal procession for state events. Sets of silver kettle drums were items made for royals in the seventeenth through nineteenth century as symbols splendor and wealth, but only a handful of sets survive today, as many were melted down for the immense amount of precious material they contained. This is the oldest of several pairs built for English monarchs of the House of Hanover, three later pairs remain in use in London, and a set commissioned by William IV for the Hanoverian Court in the 1830s is at the Museum of Fine Arts, Boston. The original crimson banners that would have been draped around the lower portion of the drums during use also survive."
312290,http://www.metmuseum.org/art/collection/search/312290,"This commemorative cast-brass sculpture depicts the idealized likeness of an oba, or king, wearing a woven cap of coral beads, with lateral strands of coral suspended around both ears. A single bead extends from the headdress to the forehead, aligned with the ridge of the nose, creating bilateral symmetry. The youthful face is round and rendered with precise naturalism. A rolled collar is worn low on the neck and is characteristic of imagery associated with Benin rulers. A circular opening at the summit of the head would have accommodated a carved elephant tusk. This sculpture would have held a place of honor on an altar in the palace of the kingdom of Benin (in present-day Nigeria), during the early half of the sixteenth century. 

The obas of Benin trace their origins to a ruling dynasty that began in the fourteenth century. The title of oba is passed on to the firstborn son at the time of the ruler's death. The first obligation of the new king was to create a shrine, dedicated to his predecessor and serving as the site at which the living monarch communicated with his ancestor or father. Ensuring dynastic continuity, the shrine held various carved and cast artifacts, including freestanding brass heads such as this one. The head acted as a vessel through which the late king transferred his power to the new king, the latter accepting the responsibility for successfully directing and defining his life. The Edo people considered the head to be the locus of a man's character, knowledge, authority, success, and family leadership. These sculptural heads were a consistent visual point of reference from ruler to ruler, reinforcing the idea of familial succession across a single dynasty. The oba is often called by his praise name ""Great Head,"" emphasizing the head of the living leader as the center of responsibility for the kingdom. Brass heads of the first half of the sixteenth century, such as this one, are distinguished by their naturalism and by the thin walls of their brass casting. The relatively minimal amount of brass used to make this light cast and the proportionately small amount of regalia depicted indicated that the head was created early on. Art historians have suggested that over the centuries, as greater quantities of brass became available, casters had less incentive to be economical with the material, and the trappings of office worn by the kings of Benin became more ostentatious.

This genre of commemorative portraiture is highly stylized and does not portray recognizable facial features, but rather renders the deceased king at the prime of his life. The focus is on the regalia and materials of kingship: both brass and coral were items of wealth obtained by Benin's leadership from Europe through the coastal trade. Coral is of particular significance to the Edo as a metaphor for the ancestral realm of the sea. The use of brass for commemorative heads dates to the fifteenth century, as a way for the Oranmiyan Dynasty rules to distinguish themselves from the previous dynasty of rules. During this time, artists of Benin in dialogue with their patrons developed a sculptural program for commemoration in which the depiction of the oba went from representational to idealization, reinforcing the continuity of the dynasty and its identification with a consistent ideal of leadership. Even today, the Edo value brass for its red color and shiny surface, which make it both beautiful and frightening, properties befitting the images of divine monarchs. Beyond aesthetic qualities, the use of brass conferred on the works a sense of permanence and imbued them with the potential to deflect evil. 

Bibliography

Barley, Nigel. The Art of Benin. The British Museum Press: London, 2010.

Dark, Phillip. An Illustrated Catalogue of Benin Art. G.K. Hall & co: Boston, 1982. Illus. 31 

Ezra, Kate. Royal Art of Benin: The Perls Collection in the Metropolitan Museum of Art. The Metropolitan Museum of Art: New York, 1992.

LaGamma, Alisa. Heroic Africans: Legendary Leaders, Iconic Sculptures. The Metropolitan Museum of Art: New York, 2012.

Plankensteiner, Barbara (ed.). Benin Kings and Rituals: Court Arts from Nigeria. The Art Institute of Chicago: Chicago, 2007."
470306,http://www.metmuseum.org/art/collection/search/470306,"Created between 1405 and 1408 or 1409, probably in Paris, the Belles Heures, or Beautiful Hours, a private devotional book, is one of the most sumptuous manuscripts to have come down to us from the Middle Ages. Commissioned by Jean de France, duc de Berry from the Limbourg brothers, the most gifted artists of their time, it is the only manuscript completed by them in its entirety. The richly illustrated text is enhanced by seven unprecedented picture cycles devoted to Christian figures or events that held special significance for the duke. Using a luminous palette, the artists blended an intimate Northern vision of nature with Italianate modes of figural articulation. The keen interest in the natural world and the naturalistic means of representing it, so striking in the 172 illuminations, foreshadow the work of Jan van Eyck and the ensuing generations of outstanding 15th-century painters in the South Netherlands.

For a complete discussion of the Belles Heures, see: The Art of Illumination"
503271,http://www.metmuseum.org/art/collection/search/503271,"This instrument is one of two known clavichords made by Kintzing, who also worked with the cabinetmaker David Roentgen. It has an unusual feature that uses a second separate row of tangents that are activated by knobs on either side of the keyboard. When engaged, these tangent raise the strings and stay in contact with them. When the keys tangents are played the sound of the strings is prolonged. This feature is known as a pantalon stop and was inspired by the popularity of the hammered dulcimer and the famous eighteenth century virtuoso Pantaleon Hebenstreit. 

Clavichords were built as far back as the early fifteenth century, and perhaps earlier. This most personal, simplest, and quietest of European keyboard instruments was the perfect vehicle for music pedagogy, keyboard practice, and composition throughout its 400-year history. The action of the clavichord is relatively simple: the finger depresses a key which, working as a lever, causes its opposite end to rise so that a metal tongue (or tangent) hits a metal string, causing it to resonate. When the key is released, the string is damped. The clavichord is very quiet compared to the harpsichord or piano because of the inefficiency of its sound production, with the tangent hitting the string at the end of its resonating length, rather than in the middle. The tangent mechanism, however, allows a player to achieve a range, albeit narrow, of louder and softer tones as well as special effects like bebung, a form of vibrato, so that the clavichord was and is valued for its intimate expressiveness. Earlier clavichords were fretted, that is, a single string might be used to create several different notes, depending on where a tangent struck it. Unfretted clavichords, with a single note per string, came into use in the late seventeenth century.


Technical description: Unfretted clavichord, C-e3, 2-piece ebony naturals with 4 scribe lines, ebony arcades, bone-covered accidentals, Pantalon stop divided treble-bass and operated by knobs on walnut keyboard end blocks, ebonized bridge, softwood case painted gold in 19th century and decorated in 18th-century style, decoupage ornaments glued on varnished soundboard, walnut (veneered?) wrestplank and right-rear corner block, hinged string-box cover with no. 7 (?) penciled inside, on later stand."
466287,http://www.metmuseum.org/art/collection/search/466287,"Niclaus Gerhaert, a seminal artist of the generation preceding Albrecht Dürer's, was presumably born in Leiden and was active in Strasbourg and Vienna, as well as in several cities between them. Three of his signed works are known and only four others, including this sculpture, have been seriously ascribed to him. 

The statuette expresses a combined sense of drama, monumentality, and elegance through the extraordinarily accomplished carving of the fine-grained wood. The rhythm and balance of the complex drapery folds are set off by fine linear detail and textural contrasts. Among the naturalistic details that subtly enhance the forms is the delicate manner in which the Virgin's fingertips press into the chubby flesh of the Child. Intended as an object of private devotion, and part of a long tradition in the use of boxwood for this purpose, it may well have been commissioned by a member of the imperial court in Vienna. The dark base, with a fictive Dürer monogram and date on the back, is of later date. Both arms of the Child and the section of drapery held in his left hand are replacements."
505722,http://www.metmuseum.org/art/collection/search/505722,"Guillaume Voiriot is first mentioned in records of the Paris painters' guild, the Académie de Saint-Luc, in 1736. Ten years later he arrived in Rome for further study, visited Naples, and returned by way of Florence, Bologna, and Turin in 1748-49, reaching Paris in December 1749. Voiriot secured preliminary admission to the Académie Royale de Peinture et de Sculpture as a portraitist in 1757 and was elected to full membership two years later, presenting portraits of Jean-Marc Nattier (Musée du Louvre, Paris) and Jean-Baptiste Marie Pierre (Musée National des Châteaux de Versailles et de Trianon). Between 1759 and 1791, he exhibited a total of seven times at the Salon; from 1773 to 1787 he did not contribute. Voiriot was an active member of the Académie Royale and in 1785 achieved the rank of conseiller. He left a small body of work.


Writing about the Salon de la Correspondance in 1782, Pahin de la Blancherie described Voiriot's portrait of Monsieur Aublet as among the painter's best, suave and harmonious in color and very correctly drawn (Nouvelles de la République des Lettres et des Arts, no. 23, June 19, 1782, p. 180). It joined a pastel self-portrait by Madame Guiard and her pastel portraits of her close companion, François André Vincent, and Voiriot himself. Pahin stated that Voiriot's portrait of Aublet had been greatly admired - ""fort applaudi"" - when exhibited previously at the Salon. While there is no other record that this portrait had been displayed before, this is possible, as Voiriot sent works described as ""Plusieurs Portraits [or 'Autres Portraits'] sous le même Numéro"" to the official Salon of the Académie Royale in 1759, 1761, 1763, 1767, and 1771.


A black satin suit usually suggested some professional rank or official function, but Aublet's coat has unusually wide sleeves, and his ruff is an element of fancy dress most often associated with the theater. The hat with a blue band and feather provides a further exotic or historicizing element. The Museum owns a guitar similar to the one he plays: it is attributed to Jean-Baptiste Voboam based on an engraved inscription on the face of the instrument reading ""Voboam A Paris 1697"" (1989.147). Elaborate interiors are typical of Voiriot's larger portraits. Aublet is seated on an upholstered chair in the Louis XV style beside a music stand resting on a table covered with a flowered, perhaps Near Eastern, carpet. The signature, if it is one, is atypical: Voiriot signed infrequently, but when he did so, he usually used his last name and a date.


Further details about the sitter remain unknown, though Voiriot portrayed a relatively large number of musicians and actors.


[adapted from Baetjer 2019]"
470310,http://www.metmuseum.org/art/collection/search/470310,"This sumptuous reliquary sets the Virgin and Child, accompanied by angels, within an elaborate architectural shrine. The arches, vaults, and sculptural decorations are of gilded silver; translucent enamel panels on the wings depicting scenes from the life of the Virgin and the Infancy of Christ evoke stained-glass windows. This example, one of only four such shrines to have survived, is recorded in the eighteenth-century inventories of the convent of the Poor Clares of the Order of Saint Francis at Buda (part of the modern city of Budapest), founded by Queen Elizabeth of Hungary in 1334."
