"met_object_id","link_resource","provenance"
"503046","http://www.metmuseum.org/art/collection/search/503046","Thomas Henry Foley 4th Baron Foley ; Henry Thomas Foley 5th Baron Foley ; Fitzalan Charles John Foley 6th Baron Foley ; Gerald Henry Foley 7th Baron Foley ; Adrian Gerald Foley 8th Baron Foley ; Patricia Meek Dowager Lady Foley ; [ Milton Samuels ] ; Mrs. Henry McSweeney"
"503530","http://www.metmuseum.org/art/collection/search/503530",""
"470309","http://www.metmuseum.org/art/collection/search/470309","Jeanne d'Evreux, Queen of France (by 1328–d. 1371) ; bequeathed to Charles V, King of France (1371–d. 1380) ; bequeathed to Charles VI, King of France (from 1380) ; Jean, Duke of Berry d. 1416 (listed in inventories from 1401–d.1416) ; Louis-Jules de Châtelet and Christine de Gleseneuve, Bar, France (ca. 1618–before 1672) ; Adolphe Carl Rothschild, Château de Pregny, Geneva (until d. 1900) ; bequeathed to his wife, Caroline Julie Anselme Rothschild 1830–1907 (1900–d. 1907) ; bequeathed to Baron Maurice Edmond Charles de Rothschild France, 1881–1957, Paris (1909–collection looted by Nazi officials January 1941) ; stored in Neuschwanstein Castle, Füssen, Germany (inventory no. R.1052) ; recovered in 1945 and restituted to Baron Maurice Edmond Charles de Rothschild France, 1881–1957, Château de Pregny, Geneva (1948–54) ; [ Rosenberg and Stiebel, Inc., New York (consigned by owner October 22, 1952–sold 1954)]"
"506174","http://www.metmuseum.org/art/collection/search/506174","[ Solomon Fine Arts Limited ]"
"312290","http://www.metmuseum.org/art/collection/search/312290","Court of Benin; a West African mine official, acquired before 1885; [John J. Klejman, New York, by 1958]; Nelson A. Rockefeller, New York, 1958, on loan to The Museum of Primitive Art, 1958–78"
"470306","http://www.metmuseum.org/art/collection/search/470306","Jean, Duke of Berry d. 1416 (1408/09–d. 1416; item no. 960 in 1413 inventory) ; Yolande, Queen of Sicily and Duchess of Anjou (1417–d.1443) ; Pierre-Gabriel Bourlier, baron d'Ailly (before 1879–sold by 1884) ; Baron Edmond James de Rothschild, Paris (by 1884–d. 1934) ; by descent, Baron Maurice Edmond Charles de Rothschild France, 1881–1957, Paris and Geneva (1936–1954) ; [ Rosenberg & Stiebel, New York (consigned by owner December 11, 1952–sold 1954)]"
"503271","http://www.metmuseum.org/art/collection/search/503271",""
"466287","http://www.metmuseum.org/art/collection/search/466287","Baron Anselm Salomon von Rothschild, Vienna (by 1866–1874) ; Baron Nathaniel Mayer Anselm von Rothschild Austrian, 1836–1905, Vienna ; by descent, Baron Alphonse Mayer Rothschild 1878–1942 (confiscated 1938 and held at Altausse and Kremsmünster) ; restituted to his widow, Baroness Clarice de Rothschild (1947–sold 1948) ; [ Rosenberg & Stiebel, New York (sold 1948, to Böhler ] ; [ Julius Wilhelm Böhler, Munich (from 1948)] ; [by descent, Julius Harry Böhler, Munich] ; [by descent, Marion Böhler-Eitle, Munich] ; [by descent, Florian Eitle-Böhler, Starnberg (sold 1996)]"
"505722","http://www.metmuseum.org/art/collection/search/505722","[ Wildenstein Gallery until 1907] ; [ Christie's, New York , London (sale, July 6, 1990, lot 95)] ; Dorothea and Bradford Endicott"
"470310","http://www.metmuseum.org/art/collection/search/470310","From the convent of the Poor Clares at Buda (part of the modern city of Budapest); Countess V. Batthyany, Vienna ; Count Arthur Batthyany ; Frederick I, Grand Duke of Baden 1826–1907 ; his sale, Hôtel Drouot, Paris (January 28-29, 1867, no. 61) ; Baron Adolphe Carl de Rothschild 1823–1900, Paris and Pregny (from 1867–1900) ; by descent, Caroline Julie Anselme Rothschild 1830–1907, Paris and Pregny (1900–d.1907) ; by descent, Baron Edmond James de Rothschild French, 1845–1934, Paris (1907–until 1934) ; Reichsmarschall Hermann Goering (confiscated from Baron Edmond's residence, Paris) ; restituted to estate of Baron Edmond James de Rothschild French, 1845–1934, Paris (June 3, 1948) ; by descent, Baron James Armand Edmond de Rothschild 1878–1957 Paris and London OR ; Baron Maurice Edmond Charles de Rothschild France, 1881–1957, Paris ; by descent, Baron Edmond Adolphe de Rothschild, Paris (?) (sold 1962) ; [ Rosenberg and Stiebel, Inc., New York (sold 1962)]"
"465937","http://www.metmuseum.org/art/collection/search/465937","From the church of Sant'Andrea, Pistoia, Italy; [ Stefano Bardini (Italian), Florence (until 1918)]; his sale, American Art GalleriesNew York (April 23-27, 1918, no. 376)"
"318622","http://www.metmuseum.org/art/collection/search/318622","Commissioned by Ẹsìgie (r. ca. 1517–50), Benin City; by descent to Òvọ́nránmwẹ̀ (r. 1889–97); taken from the Royal Palace by Sir Ralph Moor, 1897; Sir Ralph Moor and his wife, Adrienne Moor, London, 1897–1909; John Sparks, London, 1909; Prof. Charles Gabriel Seligman, Oxford, U.K., 1909–(d.) 1940; his wife, Brenda Z. Seligman, London, 1940–58; Nelson A. Rockefeller, New York, 1958, on loan to the MPA, New York, 1958–72; the MPA, New York, 1972–78"
"501802","http://www.metmuseum.org/art/collection/search/501802","Mary Elizabeth Adams Brown ; L. Bayard Smith (1839 or 1842 – 4/19/1916)"
"316393","http://www.metmuseum.org/art/collection/search/316393","Commissioned by Ẹsìgie (r. ca. 1517–50) or Òrhògbùà (r. ca. 1550–70), Benin City; by descent to Òvọ́nránmwẹ̀ (r. 1889–97); taken from the Royal Palace in 1897 during the British military occupation of Benin; (Sotheby's, London, May 20, 1964, no. 114); Paul Rose; Robert Owen Lehman, New York; Mr. and Mrs. Klaus G. Perls, New York, by 1990"
"502377","http://www.metmuseum.org/art/collection/search/502377","Mary Elizabeth Adams Brown (after 1902) ; Thatcher Magoun Adams (after ca. 1901) ; [ Weischaupt ] ; Vicomte de Sartiges (ca. 1864–ca. 1900) ; [ Monsignor Giovanni Antonio Sampieri before ca. 1860] ; Count Alessandro Zeloni (ca. 1858–1860) ; Petrarca (1825–ca.1858) ; [ Giovanni Vannetti purchased 1825] ; Carlo Alessandro de Vaux (after 1796) ; Virginia Verospi (1775–1796) ; Girolamo Verospi (1748-1775) ; Fabrizio Verospi (1700-1748) ; Giovanni Battista Verospi (1690-1700)"
"470304","http://www.metmuseum.org/art/collection/search/470304","Pierre d'Alcantara Charles Marie d'Arenberg, prince d'Arenberg, Paris (1820–1849) ; presented as a wedding gift to his daughter, comtesse Marie-Nicolette de Merode, Westerloo-Tongerloo and Brussels (1849–d. 1905) ; by descent to her daughter, comtesse Jeanne de Merode, Westerloo-Tongerloo and Brussels (1905–d. 1944) ; by descent to her niece, comtesse Jeanne de Grunne (1944–1956) ; [ Rosenberg & Stiebel, New York (sold 1956)]"
"470600","http://www.metmuseum.org/art/collection/search/470600","Probably from the Dominican convent of SS. Annunziata in San Gimignano; George Grey Barnard American, New York (until 1925)"
"471904","http://www.metmuseum.org/art/collection/search/471904","Marshal Nicholas Soult, Paris ; Augustus Stevens, Paris (until d. 1867) ; his posthumous sale, Phillips, London British (May 11, 1869, no. 68, as Fra Angelico) ; Henry G. Bohn, Twickenham (1869–d. 1884) ; his posthumous sale, Christie, Manson and Woods, London (March 19-28, 1885, no. 77, as Fra Angelico) ; Charles Butler British, London (1885-1891) ; Robert Henry and Evelyn Benson, London (1891-1927) ; [ Duveen Brothers, London, Paris and New York (1927)] ; Mr. and Mrs. John D. Rockefeller Jr. American (1927-1960)"
"469913","http://www.metmuseum.org/art/collection/search/469913","[ Julius Böhler Kunsthandlung, Munich (sold 1988)]"
"503517","http://www.metmuseum.org/art/collection/search/503517","[ Vintage Instruments 1998-1999] ; Arved Kurtz (New York, 1941-1998) ; [ Harry Wahl ; sold by Hermann to Kurtz] ; Robert L. Dennison (until 1940) ; Mr. Fraenkel (ca. 1934) ; Dr. Steiner-Schweitzer (1927 -1930, sold by Hermann to Fraenkel) ; Emil Herrmann (after 1924) ; [ Rembert Wurlitzer 1923-–1924; sold to Herrmann] ; Miss Hilda Barry (Freemantle) (1896–1923; sold by W. E. Hill & Sons to Wurlitzer) ; [ W. E. Hill & Sons until 1896; sold to Miss Hilda Barry; 1923–1924] ; Sidney Courtald (after 1890) ; Edward Heron-Allen (until 1890) ; George Soames (until ca. 1885) ; Michael Longridge (1873; sold to George Withers & Sons) ; [ Edward Withers Sr. 1873; sold to Michael Longridge] ; Sir Louis Mallet (until 1873; sold to Edward Withers Sr.) ; Oliphant and Pellew (until 1870) ; Phillip II of Spain (ca. 1560)"
"503523","http://www.metmuseum.org/art/collection/search/503523","[ Jeff Hsu's Oriental Art , Taipei, Taiwan]"
"24953","http://www.metmuseum.org/art/collection/search/24953","Rex Ingram, Los Angeles (until d. 1950; his estate sale, A. N. Abell Auction Company, Los Angeles, 1989, sold to Bashir Mohamed as agent for Rifaat Sheikh El-Ard); Rifaat Sheikh El-Ard, Riyadh (1989–93; sold through Bashir Mohamed Ltd. to MMA)."
