"met_object_id","link_resource","sim_type","sim_text"
"503046","http://www.metmuseum.org/art/collection/search/503046","Marking","1) (stamped in various places) 1243 [serial number]
2) (pencilled on a soundboard rib) Tho Poll [?]
3) (pencilled on left side of action rail) Lady Foley/Wof
4) (stamped on action rail) J. PE...
5) (stamped on top key lever) I49 [and] I. VEITCH
6) (inset in the lid, on silver plate) Designed and Executed by/George Henry Blake/London
7) (stamped on metal frame below a crown) S C
8) (in ink within keywell) Wm Barnes/1243
9) (on left of pinblock) CC; (stamped on lock) Nettlefold [and] VR/Patent [below a crown]"
"503530","http://www.metmuseum.org/art/collection/search/503530","Inscription","(under clock plate) ""Michel a Paris, 1866"" indicating previous repair."
"503530","http://www.metmuseum.org/art/collection/search/503530","Marking","""VLB"" stamped in three places: 1) on bottom of frame near trackers; 2-3) seen from bottom at the other end under wood support for key-wind."
"506174","http://www.metmuseum.org/art/collection/search/506174","Marking","Stamped on each drum and each lug: Bunsen
Other hallmarks including a crown and the letter E."
"503271","http://www.metmuseum.org/art/collection/search/503271","Marking","(Inscribed on hitchpin rail): C. Kintzing. in Neuwied. 1763

(Gauge markings, inscribed on pinblocks): 1) C-F#; 2) G-A#; 3) B-e; 4) f-a#; 5) b-f1; 6) f#1-c2; 7) c#2-g#2; 8) a2-e3"
"505722","http://www.metmuseum.org/art/collection/search/505722","Marking","Signed with initials ""V.P."" (on pegbox)"
"470304","http://www.metmuseum.org/art/collection/search/470304","Marking","Arms (central panel, left window): D'or au chevron de sable charge sur sa pointe d'une chaine de quatre chainons d'argent elle meme placee en chevron. For Ingelbrechts (Ingelbrechts or Ymbrechts) of Malines and Spain.
Arms (central panel, right window): D'or a la fasce de gueules accolee de trois annelets de meme. Possibly for Calcum (Lohausen) family, Germany.
Arms on shield of figure behind the donors): D'or aux trois pals de gueles."
"471904","http://www.metmuseum.org/art/collection/search/471904","Inscription","(on cross): . I[esus] . N[azarenus] . R[ex] . I[udaeorum] . (Jesus the Nazarene, King of the Jews [John 19:19])

(on flag): SPQR [Senatus Populusque Romanus] (The Senate and the People of Rome)

(back): XIV – SIECLE [should be SAECLUM] (fourteenth century)

(on front of frame): + crucifixus [should be in crucifix] . ruam . pro nobis + (may I fall [on] the crucifix for us)"
"503517","http://www.metmuseum.org/art/collection/search/503517","Marking","1. (stamped on front edge of fingerboard, dealer's inventory number) 3272
2. the internal paper label is a modern facsimile"
"503523","http://www.metmuseum.org/art/collection/search/503523","Inscription","Inside soundhole, circular inscription: ""Manufactured by the [prince of the] state of Lu in the year guiyou of the Chongzhen reign of the great Ming; #18."""
"503523","http://www.metmuseum.org/art/collection/search/503523","Marking","1) (on back at head) the title ""honghe""(Capital Peace); 2) (on back below title) the seal ""Luguo shi quan"" (Heirloom of the Lu State); 3) (below seal) 22-character poem that reads: The moonlight is being reflected by the river Yangtze, A light breeze is blowing over clear dewdrops, Only in a tranquil place Can one comprehend the feeling of eternity. Signed, Jingyi Zhuren."
"503045","http://www.metmuseum.org/art/collection/search/503045","Marking","(label pasted inside body) Antonius Stradivarius Cremonensis/Faciebat Anno 1693."
"503385","http://www.metmuseum.org/art/collection/search/503385","Marking","""MS"" scratched under top; false inscription ""Matteo Sellas alla Corona in Venetia"" engraved in plaque on head."
"23944","http://www.metmuseum.org/art/collection/search/23944","Marking","Marked on the inner and outer faces of the principle elements: the blazon of the city of Nuremberg; and the initial N within a pearled border, denoting Nuremberg."
"503528","http://www.metmuseum.org/art/collection/search/503528","Marking","(stamped beneath a crown) ""PORTHAUX / A / PARIS"""
"503443","http://www.metmuseum.org/art/collection/search/503443","Marking","stamped under top: W. E. Hill"
"501767","http://www.metmuseum.org/art/collection/search/501767","Marking","Inscribed: LVDVVICVS GROVVELVS ME FECIT 1600

The large front-board bears the motto: SCIENCIA NON HABET INIMICUM NISI IGNORANTEM (Knowledge (science) has no enemy but the ignorant). The front-board of the smaller instrument, inserted in the case to the right of keyboard, bears the motto ARS USU IVVANDA. The soundboards of both instruments are painted with flowers and fruit, each with a rose bearing the initials L. G., and representing Pan blowing an organ with his lips."
"448938","http://www.metmuseum.org/art/collection/search/448938","Inscription","In Persian in nasta’liq:
Verses from the Shāhnāma of Ferdowsī, heading above گفتار اندر اندرز کردن اسفندیار رستم را از بهر بهمن (story of the advice of Isfandīyār to Rustam regarding Bahman) and heading below گفتار اندر آگاهي یافتن گشتاسب از کشته شدن اسفندیار (story of Gushtasp's hearing about Isfandiyar's death) The title of the story on the page itself is آوردن تابوت اسفندیار (The bringining of …᾽Isfandīyār's cenotaph).

(Abu’l-Qasim Feardowsi,The Shāhnāmeh (The Book of Kings), ed, Djalal Khalqi- Muṭlagh, Mazda publishers in association with Bibliotheca Persica, Costa Mesa, California and New York, 1997, vol. 5, pp. 424–27)

(A. Ghouchani, 2011)"
"504497","http://www.metmuseum.org/art/collection/search/504497","Marking","gilt metal loop stamped with ""SCHERER"""
"447071","http://www.metmuseum.org/art/collection/search/447071","Inscription","The text in Persian reads:

Recto:
""O lofty in origin, if you wish to know clearly
In which of the signs of zodiac the Moon is,
Know first that every month the Sun enters a new sign.
For instance, if the Sun should be in the month of Aries,
And if the Moon is ten days old, add ten more to that.
When the doubling has been done, then add five more.
Listen well to this point: allow one sign for each five.
Begin from the sign in which the illustrious Sun is:
The Moon is in Virgo, if the calculation is done right.
Look well at this example I have given;
In whichever sign the Sun is, make this calculation,
And if you do not understand, others do. I make it brief.""
""If the Moon should be in Aries, put on new clothes,
exert yourself in being bled, hunting, enjoyment, and war.
Refrain from marriage and taking medicine.
Drink the cup of joy with military men.""
""With the Moon in Taurus, know that companionship is good.
It is good for you to start seeing women.
Construction goes well, and the making of compacts,
Making marriages, and entertainments for guests.""

Verso:
""With the Moon in Gemini, partnerships, making marriages and journeys
Are good, if you do them, O you mine of jewels.
Have clothing cut, make your requests from men of the pen.
Do not take medicine and be sure to shun bleeding.""
""With the Moon in Cancer, it is proper to have clothes cut,
And if you take purgatives they will work excellently.
Buy jewels, travel on water, for that is good.
Send messengers wherever you need to.""
""The Moon is in Leo. Work with fire is good.
Make your requests in the presence of kings.
Lay foundations, be bled, and make compacts
And avoid sewing and wearing new clothes.""

(Translated by A. H. Morton in Swietochowski and Carboni, ""Illustrated Poetry and Epic Images,"" New York, 1994)
View more"
"452037","http://www.metmuseum.org/art/collection/search/452037","Signature","On colophon of manuscript ""the work of Suzi, the helpless"""
"452037","http://www.metmuseum.org/art/collection/search/452037","Inscription","Date 904 AH in chronogram, written in white at end of poem, f78v.

In Persian; all calligraphy, illumination, and painting is by Suzī, who may be Suzī Isfahani who lived in the 10th century Hijri (904 AH/1498 CE).
The last folio of this manuscript contains five lines of poetry in nasta‘līq script which contains the date in Abjad numbers and mentions that the manuscript was penned by Suzī. The following poem is found on the last page:

شد تمام این کتاب فرخنده دلگشایی کند بغمخواره
فرح قلب حاصلست اورا هرکه این آورد بنظاره
خط و تذهیب و تبر و تصویرش شد ز دست من دل آواره
بیشتر زین چون توانم کرد که مرا یک دلیست صد پاره
شد تمامی این را تاریخ عمل سوزیست بیچاره

This celebrated book was completed, it made the sad (ones) happy
Anyone who sees it will become happy at heart.
The calligraphy, illumination, and painting is by my hand.
I could not have done more for I have one heart fragmented into a hundred pieces
The manuscript was completed on this date, the work of the humble Suzī ---Amala Suzi-i bīchāra and the date in Abjad numbers as 904 AH (1498 CE).

A. Ghouchani , 2010

- Folio 1 verso: seal and note of Osman Ata'ullah, a lecturer at the Nuhullah Madrasa
- Upper right corner, first flyleaf recto (in pencil), at top same page (in brown-black ink), bought at Sir S. P. Turner's /sale March 1827
- In center of same page, stamp (in black ink) showing rampant lion facing dexter above bar/ Sir S. P. Middle (?) Hill (?)/ 3/27
- Upper left corner, second flyleaf verso, (in black ink), 7 miniatur...(?)/1 painted and decorated...?/History of Khusrau, King of Persia and his/ Mistress Schirin
- Upper left corner, folio 1 verso, (in black ink), inscription in Arabic letters; just below, black oval stamp with inscription in Arabic letters
- Sticker on spine 3127
View more"
"35650","http://www.metmuseum.org/art/collection/search/35650","Inscription","Inscribed within a shield with stars and stripes, applied to the eagle's breast on the hilt: BUENA VISTA / FEB. 22 & 23 / 1847; on the blade, within a scroll in the mouth of an eagle: E PLURIBUS UNUM; stamped on each side of the base of the blade: SAMUEL / JACKSON / BALTIMORE; engraved on the outer face of the scabbard between the ring mounts: Presented to / Major General John E. Wool a testimony of the high sense entertained by Congress of / his gallant and judicious conduct at the battle / of BUENA VISTA, in accordance with a Joint Resolution approved / January 23rd, 1854."
"310364","http://www.metmuseum.org/art/collection/search/310364","Inscription","Eight glyph blocks situated in two rows immediately above baby Jaguar."
"24865","http://www.metmuseum.org/art/collection/search/24865","Inscription","Carved in the stock in front of the trigger guard: 134 (inventory number of the Cabinet d'Armes of Louis XIII (Inventaire Général du Mobilier de la Couronne, dated January 30, 1681))."
"24865","http://www.metmuseum.org/art/collection/search/24865","Marking","Mark stamped on top of barrel near breech, a crossbow between letters PB, is attributed to Pierre le Bourgeois of Lisieux (d. 1627), brother of Marin (d. 1634) and Jean (d. 1615) le Bourgeois, both also arquebusiers in Lisieux."
"503502","http://www.metmuseum.org/art/collection/search/503502","Marking","(Inscribed inside) ""W. P. Coles""and ""Charles P. Brown / from mother / 1858""and assembly numbers 501, 17, 55."
"455059","http://www.metmuseum.org/art/collection/search/455059","Inscription","Text inscribed in Persian nasta'liq script by Maulana Azhar (d. A.H. 880/ A.D.1475–76).

The inscriptions on the building were retranslated with the help of Abdullah Ghouchani (08/15/2008). They read as follows: at the top of building, ""Allah and nothing but He, and we never worship anyone but He""; above the right window, ""Continuous glory, the Everlasting""; above left window, ""The glory the Sultan, the power""; above the door, ""O Ye (God) who opens doors."" It should be noted that the inscription above the left window is grammatically incorrect in Arabic (the English, too is awkward, because a literal translation has been provided). This raises questions about whether the inscriptions are original to the manuscript. Additionally, the last word of the script above the right window is unclear; Dr. Ghouchani guessed that it might be ""Al-Baqa"" in Arabic, which would translate as ""the Everlasting."" (Mariam Rahmani 2008)

In Persian in nasta‘liq script
Khamsa of Nizami , هفت پيكر story نشستن بهرام گور روز آدینه در گنبد سفید و افسانه گفتن دختر پادشاه اقلیم هفتم

(Nizami Ganjavi, Sab’a-yi hakim Nizami Ganjavi, Haft Paykar, ed.Hasan vahid Dastgirdi, Muassaa-ye Matbu’ati Ilmi publication, 2nd ed., 1363/1985, p.299-300..)

On the building in thuluth script:
الله و لا سواه و لا نعبد إلا ایاه
God and no other one and we do not pray to anyone else but him.
Above the door in kufic script:
يا مفتح الابواب
O you who open the gates (who answer our problems)"
"503546","http://www.metmuseum.org/art/collection/search/503546","Marking","(stamped on bell) Courtois Freres / Rue Caire / a Paris; (stamped on valves) ""1"" and ""2"" (see Description); (stamped on shanks and crooks) ""1/2 TON"" [long coupler], ""LA"" [long shank], ""LA.B"", ""SOL"", ""FA"", ""MI.B"" [in crooks}"
"503615","http://www.metmuseum.org/art/collection/search/503615","Marking","All wooden joints bear a stamp of the maker's name, bardly legible, on either joint. Combining the legible elements of the stamps, it is safe to assemble it to ""GIOSUE ESPOSITO/NAPOLI /1881""."
"451042","http://www.metmuseum.org/art/collection/search/451042","Inscription","Inscription in Arabic in kufic script around neck and continued on chest:
امر به الامیر العادل العالم/ سیف الدنیا والدین بن محمد/ الماوردي
Transliteration of inscription: (around neck): Amara bihi al-Amir al-`Adil al-`Alim; (continued on breast): Saif al-Dunya wa al-Din Muhammad al-Mawardi;
Translation: Ordered by the Amir, the just, the wise Saif al-Dunya wa’l-Din ibn Muhammad al-Mawardi

(The family name Mawardi is written on the chest between the name of the metalworker and under the name of the Amir, so it is not clear to which one of them it applies. Although the word al-Mawardi means ""the rosewater-seller,"" the size of the inscription corresponds to that of the amir and not that of the maker, which is considerably smaller)

Inscription in Arabic in kufic script on left and right bosses and boss on chest:
السعاد ةالاقبال السلامة
Transliteration: al-salama al-iqbal al-sa`ada
Happiness, prosperity, well-being

Signature in Arabic in kufic script at left on chest, and on right foot:
عمل جعفر بن محمد بن علي سنة سبع وسبعین وخمسمائة
Work of Ja‘far son of Muhammad son of ‘Ali in the year 577 AH [1181/82 CE]"
"503613","http://www.metmuseum.org/art/collection/search/503613","Marking","Inscribed on ivory plaque on finial: ""Dav: Tecchler/fecit Roma/AD 1725""; similarly labeled within body."
