"met_object_id","link_resource","exhibition_title","venue_name","city_name","exhibition_date_display","start_date","end_date","catalogue_reference","display_order"
"503046","http://www.metmuseum.org/art/collection/search/503046","Keynotes: Two Centuries of Piano Design","The Metropolitan Museum of Art","","May 29–November 29, 1985","1985-05-29","1985-11-29","","1"
"503530","http://www.metmuseum.org/art/collection/search/503530","Royal Automata","Nationaal Museum Van Speelklok tot Pierement","","April 1- June 30, 2006","2006-04-01","2006-06-30","","1"
"503530","http://www.metmuseum.org/art/collection/search/503530","Making Marvels: Science and Splendor at the Courts of Europe","The Metropolitan Museum of Art","New York","November 18, 2019–March 1, 2020","2019-11-18","2020-03-01","","2"
"470309","http://www.metmuseum.org/art/collection/search/470309","Treasures from Medieval France","Cleveland Museum of Art","","Novemer 16, 1966–January 29, 1967","","1967-01-29","","1"
"470309","http://www.metmuseum.org/art/collection/search/470309","In the Presence of Kings: Royal Treasures from the Collections of The Metropolitan Museum of Art","The Metropolitan Museum of Art","New York","April 19–September 4, 1967","1967-04-19","1967-09-04","","2"
"470309","http://www.metmuseum.org/art/collection/search/470309","La Librairie de Charles V","Bibliothèque nationale de France","","1968","","","","3"
"470309","http://www.metmuseum.org/art/collection/search/470309","The Middle Ages: Treasures from The Cloisters and The Metropolitan Museum of Art","Los Angeles County Museum of Art","","January 18, 1970–March 29, 1970","1970-01-18","1970-03-29","","4"
"470309","http://www.metmuseum.org/art/collection/search/470309","The Middle Ages: Treasures from The Cloisters and The Metropolitan Museum of Art","Art Institute of Chicago","Chicago","May 16, 1970–July 5, 1970","1970-05-16","1970-07-05","","5"
"470309","http://www.metmuseum.org/art/collection/search/470309","Masterpieces of Fifty Centuries","The Metropolitan Museum of Art","New York","November 14, 1970–June 1, 1971","1970-11-14","1971-06-01","","6"
"470309","http://www.metmuseum.org/art/collection/search/470309","The Secular Spirit: Life and Art at the End of the Middle Ages","The Cloisters Museum & Gardens","New York","March 28–June 15, 1975","1975-03-28","1975-06-15","","7"
"470309","http://www.metmuseum.org/art/collection/search/470309","Les Fastes du Gothique: Le Siècle de Charles V","Pavillon de Marsan, Palais du Louvre","","1981","","","","8"
"470309","http://www.metmuseum.org/art/collection/search/470309","Prayerbook for a Queen: The Hours of Jeanne d'Evreux","J. Paul Getty Museum","","April 7–July 5, 1998","1998-04-07","1998-07-05","","9"
"470309","http://www.metmuseum.org/art/collection/search/470309","Prayerbook for a Queen: The Hours of Jeanne d'Evreux","The Metropolitan Museum of Art","","May 11–August 29, 1999","1999-05-11","1999-08-29","","10"
"470309","http://www.metmuseum.org/art/collection/search/470309","Pen and Parchment: Drawing in the Middle Ages","The Metropolitan Museum of Art","New York","June 2–August 23, 2009","2009-06-02","2009-08-23","","11"
"470309","http://www.metmuseum.org/art/collection/search/470309","Search for the Unicorn: An Exhibition in Honor of The Cloisters' 75th Anniversary","The Cloisters Museum & Gardens","New York","2013","","","","12"
"470309","http://www.metmuseum.org/art/collection/search/470309","Myth and Mystique: Cleveland's French Gothic Table Fountain","Cleveland Museum of Art","","October 9, 2016–February 26, 2017","2016-10-09","2017-02-26","","13"
"470309","http://www.metmuseum.org/art/collection/search/470309","Making The Met, 1870–2020","The Metropolitan Museum of Art","New York","August 29, 2020–January 3, 2021","2020-08-29","2021-01-03","","14"
"470309","http://www.metmuseum.org/art/collection/search/470309","Siena: The Rise of Painting, 1300–1350","The Metropolitan Museum of Art","New York","October 13, 2024–January 26, 2025","2024-10-13","2025-01-26","","15"
"470309","http://www.metmuseum.org/art/collection/search/470309","Siena: The Rise of Painting, 1300–1350","National Gallery","London","March 8–June 22, 2025","2025-03-08","2025-06-22","","16"
"506174","http://www.metmuseum.org/art/collection/search/506174","Search for the Unicorn: An Exhibition in Honor of The Cloisters' 75th Anniversary","The Cloisters Museum & Gardens","New York","2013","","","","1"
"506174","http://www.metmuseum.org/art/collection/search/506174","Making Marvels: Science and Splendor at the Courts of Europe","The Metropolitan Museum of Art","New York","November 18, 2019–March 1, 2020","2019-11-18","2020-03-01","","2"
"470306","http://www.metmuseum.org/art/collection/search/470306","Treasures from Medieval France","Cleveland Museum of Art","","Novemer 16, 1966–January 29, 1967","","1967-01-29","","1"
"470306","http://www.metmuseum.org/art/collection/search/470306","Meister Francke und die Kunst um 1400","Hamburger Kunsthalle","","August 30–October 19, 1969","1969-08-30","1969-10-19","","2"
"470306","http://www.metmuseum.org/art/collection/search/470306","Masterpieces of Fifty Centuries","The Metropolitan Museum of Art","New York","November 14, 1970–June 1, 1971","1970-11-14","1971-06-01","","3"
"470306","http://www.metmuseum.org/art/collection/search/470306","Les pleurants dans l'art du Moyen âge en Europe","Musée des Beaux-Arts de Dijon","","July 3–September 12, 1971","1971-07-03","1971-09-12","","4"
"470306","http://www.metmuseum.org/art/collection/search/470306","French Painting in the Time of Jean de Berry","Morgan Library & Museum","","February 10–April 1, 1972","1972-02-10","1972-04-01","","5"
"470306","http://www.metmuseum.org/art/collection/search/470306","Pisanello: Painter to the Renaissance Court","National Gallery, London","","October 24, 2001–January 13, 2002","2001-10-24","2002-01-13","","6"
"470306","http://www.metmuseum.org/art/collection/search/470306","L'art parisien sous Charles VI","Musée du Louvre","Paris","March 22, 2004–July 12, 2004","2004-03-22","2004-07-12","","7"
"470306","http://www.metmuseum.org/art/collection/search/470306","Byzantium: Faith and Power (1261–1557)","The Metropolitan Museum of Art","New York","March 23–July 4, 2004","2004-03-23","2004-07-04","","8"
"470306","http://www.metmuseum.org/art/collection/search/470306","Art from the Court of Burgundy, 1364–1419","Cleveland Museum of Art","","May 27, 2004–January 9, 2005","2004-05-27","2005-01-09","","9"
"470306","http://www.metmuseum.org/art/collection/search/470306","L'Art à la cour de Bourgogne: Le Mécénat de Philippe le Hardi et de Jean sans Peur (1364-1419)","Musée des Beaux-Arts de Dijon","","October 24, 2004–January 9, 2005","2004-10-24","2005-01-09","","10"
"470306","http://www.metmuseum.org/art/collection/search/470306","The Limbourg Brothers. Nijmegen Masters at the French Court 1400-1416","Museum het valkhof nijmegen","","August 28–November 20, 2005","2005-08-28","2005-11-20","","11"
"470306","http://www.metmuseum.org/art/collection/search/470306","The Art of Illumination","The Metropolitan Museum of Art","","March 1–June 13, 2010","2010-03-01","2010-06-13","","12"
"470306","http://www.metmuseum.org/art/collection/search/470306","Johan Maelwael","Rijksmuseum","","October 6, 2017–January 7, 2018","2017-10-06","2018-01-07","","13"
"470306","http://www.metmuseum.org/art/collection/search/470306","The Renaissance Nude","J. Paul Getty Museum","Los Angeles","October 30, 2018–January 27, 2019","2018-10-30","2019-01-27","","14"
"470306","http://www.metmuseum.org/art/collection/search/470306","The Renaissance Nude","Royal Academy of Arts","London","March 2–June 2, 2019","2019-03-02","2019-06-02","","15"
"470306","http://www.metmuseum.org/art/collection/search/470306","Siena: The Rise of Painting, 1300–1350","The Metropolitan Museum of Art","New York","October 13, 2024–January 26, 2025","2024-10-13","2025-01-26","","16"
"470306","http://www.metmuseum.org/art/collection/search/470306","Siena: The Rise of Painting, 1300–1350","National Gallery","London","March 8–June 22, 2025","2025-03-08","2025-06-22","","17"
"470306","http://www.metmuseum.org/art/collection/search/470306","Spectrum of Desire: Love, Sex, and Gender in the Middle Ages","The Metropolitan Museum of Art, The Cloisters","New York","October 17, 2025–March 29, 2026","2025-10-17","2026-03-29","","18"
"503271","http://www.metmuseum.org/art/collection/search/503271","A Musical Offering: An Exhibition Celebrating the Centennial of the Collection of Musical Instruments","The Metropolitan Museum of Art","","March 10–July 30, 1989","1989-03-10","1989-07-30","","1"
"466287","http://www.metmuseum.org/art/collection/search/466287","Mirror of the Medieval World","The Metropolitan Museum of Art","New York","March 9–June 1, 1999","1999-03-09","1999-06-01","","1"
"466287","http://www.metmuseum.org/art/collection/search/466287","The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions","The Metropolitan Museum of Art","New York","October 24, 2008–February 1, 2009","2008-10-24","2009-02-01","","2"
"466287","http://www.metmuseum.org/art/collection/search/466287","Nicolas Gerhaert von Leiden","Liebieghaus Skulpturen Sammlung","Frankfurt","October 27, 2011–March 4, 2012","2011-10-27","2012-03-04","","3"
"466287","http://www.metmuseum.org/art/collection/search/466287","Nicolas Gerhaert von Leiden","Fondation de l'Œuvre Notre-Dame, Musée de l'Oeuvre Notre-Dame, Strasbourg","","March 30, 2012–July 8, 2012","2012-03-30","2012-07-08","","4"
"505722","http://www.metmuseum.org/art/collection/search/505722","Portrait de M. Aublet, jouant de la guitare, vu jusqu'aux genoux","Salon de la Correspondance","Paris","June 7, 1782","1782-06-07","1782-06-07","no. 5","1"
"505722","http://www.metmuseum.org/art/collection/search/505722","","Salon de la Correspondance","Paris","June 13, 1782","1782-06-13","1782-06-13","no. 3","2"
"505722","http://www.metmuseum.org/art/collection/search/505722","Towards a New Taste: Summer Exhibition of Old Master Paintings","Heim Gallery","London","May 24–July 25, 1989","1989-05-24","1989-07-25","no. 15","3"
"470310","http://www.metmuseum.org/art/collection/search/470310","Making The Met, 1870–2020","The Metropolitan Museum of Art","New York","August 29, 2020–January 3, 2021","2020-08-29","2021-01-03","","1"
